,DS1.Bal.Dwn.S.R1,DS1.Bal.Dwn.S.R2,DS1.Bal.Dwn.S.R3,DS1.Bal.Dwn.W.R1,DS1.Bal.Dwn.W.R2,DS1.Bal.Dwn.W.R3,DS1.Bal.Up.S.R1,DS1.Bal.Up.S.R2,DS1.Bal.Up.S.R3,DS1.Bal.Up.W.R1,DS1.Bal.Up.W.R2,DS1.Bal.Up.W.R3,DS1.Cen.S.R1,DS1.Cen.S.R2,DS1.Cen.S.R3,DS1.Cen.W.R1,DS1.Cen.W.R2,DS1.Cen.W.R3,DS1.Pine.S.R1,DS1.Pine.S.R2,DS1.Pine.S.R3,DS1.Pine.W.R1,DS1.Pine.W.R2,DS1.Pine.W.R3,DS1.Wtlnds.S.R1,DS1.Wtlnds.S.R2,DS1.Wtlnds.S.R3,DS1.Wtlnds.W.R1,DS1.Wtlnds.W.R2,DS1.Wtlnds.W.R3,DS2.Bal.Dwn.S.R1,DS2.Bal.Dwn.S.R2,DS2.Bal.Dwn.S.R3,DS2.Bal.Dwn.W.R1,DS2.Bal.Dwn.W.R2,DS2.Bal.Dwn.W.R3,DS2.Bal.Up.S.R1,DS2.Bal.Up.S.R2,DS2.Bal.Up.S.R3,DS2.Bal.Up.W.R1,DS2.Bal.Up.W.R2,DS2.Bal.Up.W.R3,DS2.Cen.S.R1,DS2.Cen.S.R2,DS2.Cen.S.R3,DS2.Cen.W.R1,DS2.Cen.W.R2,DS2.Cen.W.R3,DS2.Pine.S.R1,DS2.Pine.S.R2,DS2.Pine.S.R3,DS2.Pine.W.R1,DS2.Pine.W.R2,DS2.Pine.W.R3,DS2.Wtlnds.S.R1,DS2.Wtlnds.S.R2,DS2.Wtlnds.S.R3,DS2.Wtlnds.W.R1,DS2.Wtlnds.W.R2,DS2.Wtlnds.W.R3
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Chryseotalea;s__NA,31415,31559,31429,382,392,357,18708,18742,18563,34,21,34,9020,9197,9008,339,335,310,27225,27299,27183,315,300,333,2687,2714,2713,712,708,709,41213,40952,41350,6133,6195,6114,75714,75462,75721,27,28,19,16740,16622,16702,2,1,1,0,0,0,159,178,170,5158,5196,5078,120,119,125
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__NA,13675,13677,13592,2075,2068,2036,10955,10962,11057,287,288,298,0,0,0,364,393,371,0,0,0,1971,1945,1959,0,0,0,11947,12002,11934,9767,9641,9832,6890,6850,6857,34222,34255,34135,85,96,81,12975,13019,12676,7,6,7,1,0,2,7087,7079,7168,9168,9227,9152,100255,100859,100393
k__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__NA,56233,56472,56007,107,104,114,21301,21362,21444,0,0,0,0,0,0,0,0,0,20500,20699,20492,0,0,0,13370,13400,13411,251,259,242,26609,26574,26685,3813,3772,3929,27573,27808,27528,16,7,18,30069,30034,30207,1,0,0,0,0,0,533,541,558,20757,20909,20485,69,59,80
k__Bacteria;p__Gemmatimonadota;c__Gemmatimonadia;o__Gemmatimonadales;f__Gemmatimonadaceae;g__NA;s__NA,16398,16535,16214,28,23,38,6444,6544,6311,5,6,12,28987,29131,29021,0,0,0,13465,13526,13460,172,184,172,15203,15273,15262,1148,1141,1122,22844,22943,23087,3280,3297,3340,21297,21089,21302,14,11,11,53731,54183,53495,1,1,4,1,0,1,695,685,701,31580,31556,31531,997,996,1063
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Limnohabitans;s__NA,0,0,0,2753,2704,2699,170,172,150,197,172,192,0,0,0,5258,5328,5158,0,0,0,51452,51591,51267,0,0,0,116447,116214,116656,2326,2337,2379,2449,2366,2434,3450,3457,3425,59,48,67,865,873,863,154,159,164,1,1,0,25348,25158,25546,297,341,280,3403,3294,3376
k__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__NA,0,0,0,172,178,163,0,0,0,49,47,45,11425,11356,11640,244,240,246,13541,13558,13379,493,459,486,2749,2714,2720,511,502,513,26663,26718,26553,3970,3916,3927,25415,25176,25377,95,97,91,81302,81255,81330,0,0,0,0,0,0,315,315,320,46756,46510,47134,244,264,234
k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__NA;g__NA;s__NA,1061,1014,1004,0,0,0,0,0,0,37,21,38,20746,20749,20509,87,81,98,24903,25036,24929,274,263,290,39509,39640,39769,1107,1062,1046,14012,14100,13970,2461,2422,2424,13104,13187,13141,19,21,11,23201,23342,23293,0,0,0,1,1,1,178,185,175,72283,72240,72155,378,359,387
k__Bacteria;p__Planctomycetota;c__OM190;o__NA;f__NA;g__NA;s__NA,23582,23557,23547,116,130,111,5605,5594,5714,67,73,89,36860,36742,36827,0,0,0,45776,45830,45547,96,77,99,5894,5920,5977,170,157,193,26093,26271,26026,3493,3513,3506,32209,32096,31887,32,33,35,17963,17916,17889,1,5,1,2,1,3,296,294,265,13372,13341,13242,50,54,51
k__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__NA;g__NA;s__NA,3404,3398,3392,8016,7973,7981,3321,3377,3257,636,641,644,52918,53135,52864,22056,21979,22177,17767,17501,17711,13388,13135,13323,15786,15805,15617,5654,5738,5625,6756,6777,6642,13270,13160,13077,15014,14997,15186,354,384,375,8954,8963,8863,62,64,67,0,0,0,8637,8518,8643,6070,5984,6067,9019,9104,8983
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Rubritaleaceae;g__Luteolibacter;s__NA,3840,3881,3828,1464,1459,1486,671,662,656,309,322,294,9019,9184,9014,858,873,869,23369,23173,23098,1104,1106,1118,5892,5833,5867,2766,2759,2780,37119,37579,37145,4784,4766,4807,66873,66510,67053,92,85,84,37907,37754,37931,4,3,3,0,0,0,1029,1038,1054,8510,8649,8431,2970,3004,2949
