,DS1.Bal.Dwn.S.R1,DS1.Bal.Dwn.S.R2,DS1.Bal.Dwn.S.R3,DS1.Bal.Dwn.W.R1,DS1.Bal.Dwn.W.R2,DS1.Bal.Dwn.W.R3,DS1.Bal.Up.S.R1,DS1.Bal.Up.S.R2,DS1.Bal.Up.S.R3,DS1.Bal.Up.W.R1,DS1.Bal.Up.W.R2,DS1.Bal.Up.W.R3,DS1.Cen.S.R1,DS1.Cen.S.R2,DS1.Cen.S.R3,DS1.Cen.W.R1,DS1.Cen.W.R2,DS1.Cen.W.R3,DS1.Pine.S.R1,DS1.Pine.S.R2,DS1.Pine.S.R3,DS1.Pine.W.R1,DS1.Pine.W.R2,DS1.Pine.W.R3,DS1.Wtlnds.S.R1,DS1.Wtlnds.S.R2,DS1.Wtlnds.S.R3,DS1.Wtlnds.W.R1,DS1.Wtlnds.W.R2,DS1.Wtlnds.W.R3,DS2.Bal.Dwn.S.R1,DS2.Bal.Dwn.S.R2,DS2.Bal.Dwn.S.R3,DS2.Bal.Dwn.W.R1,DS2.Bal.Dwn.W.R2,DS2.Bal.Dwn.W.R3,DS2.Bal.Up.S.R1,DS2.Bal.Up.S.R2,DS2.Bal.Up.S.R3,DS2.Bal.Up.W.R1,DS2.Bal.Up.W.R2,DS2.Bal.Up.W.R3,DS2.Cen.S.R1,DS2.Cen.S.R2,DS2.Cen.S.R3,DS2.Cen.W.R1,DS2.Cen.W.R2,DS2.Cen.W.R3,DS2.Pine.S.R1,DS2.Pine.S.R2,DS2.Pine.S.R3,DS2.Pine.W.R1,DS2.Pine.W.R2,DS2.Pine.W.R3,DS2.Wtlnds.S.R1,DS2.Wtlnds.S.R2,DS2.Wtlnds.S.R3,DS2.Wtlnds.W.R1,DS2.Wtlnds.W.R2,DS2.Wtlnds.W.R3
k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__NA;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,247,284,17,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,177,198,424,424,418,0,0,0
k__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalogenimonas;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,161,134,0,0,0,0,0,0,19,31,27,700,736,688,0,0,0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;s__jiangduensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,28,0,0,0,0,0,0,74,77,73,43,35,43,0,0,0,0,0,0,560,555,549,0,0,0,0,0,0,123,123,129,0,0,0,41,39,38
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae;g__Georgenia;s__muralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,832,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalicoccobacillus;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,0,0,0,30,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,60,53,191,184,206,579,571,560
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__gelidum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,851,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__segetis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,170,165,0,0,0,0,0,0,712,739,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix_PCC-6303;s__desertica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,814,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas;s__pecuniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,845,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Paracoccus;s__alcaliphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,885,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__ureae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,835,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__AB1;g__NA;s__NA,0,0,0,48,42,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,16,0,0,0,86,68,89,193,187,220,4,5,5,204,227,206,1,1,2,0,0,0,110,121,93,64,74,62,133,135,137
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__polyaromaticivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,560,576,287,297,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Williamwhitmaniaceae;g__Williamwhitmania;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,708,707,0,0,0,0,0,0,52,46,56,42,29,41,0,0,0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Rhodanobacteraceae;g__Aquimonas;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,566,563,0,0,0,0,0,0,0,0,0,297,285,293,0,0,0
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,96,102,47,56,57,0,0,0,0,0,0,509,497,493,0,0,0,0,0,0,207,228,208,0,0,0,0,0,0
k__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__SS1-B-02-17;f__NA;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,678,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,96,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,29
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__CHAB-XI-27;f__NA;g__NA;s__NA,0,0,0,20,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,213,194,0,0,0,1,0,1,153,165,157,1,0,1,0,0,0,213,195,216,85,90,88,170,170,158
k__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,672,643,51,55,48,89,89,101,0,0,0,0,0,0,0,0,0,0,0,0,10,11,8,0,0,0,18,27,22
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__mosselii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,857,846,0,0,0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Gracilibacillus;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,73,72,297,287,273,478,465,501
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__anthropi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,48,50,0,0,0,290,308,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,454,454,0,0,0,0,0,0,48,54,37,0,0,0,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Altericroceibacterium;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,84,55,0,0,0,64,65,61,163,149,159,0,0,0,254,291,243,2,1,3,0,0,0,90,82,81,0,0,0,202,183,194
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Rudanella;s__lutea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,802,846,0,0,0,0,0,0,19,22,15,0,0,0,0,0,0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__tyrosinilyticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,654,671,0,0,0,0,0,0,0,0,0,170,188,173,0,0,0
k__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__GWF2-44-16;g__NA;s__NA,0,0,0,0,0,0,0,0,0,2,2,3,601,639,564,49,42,46,0,0,0,22,22,19,0,0,0,0,0,0,37,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,11,0,0,0,101,123,110
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Nocardiaceae;g__Smaragdicoccus;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,98,87,0,0,0,74,87,80,0,0,0,661,687,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__soli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,7,0,0,0,0,0,0,814,787,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Candidatus_Limnoluna;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,7,0,0,0,813,837,811,0,0,0,0,0,0
k__Bacteria;p__Myxococcota;c__Polyangiia;o__MSB-4B10;f__NA;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,149,188,38,43,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,610,578,0,0,0
k__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__NA;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,845,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Kitasatosporales;f__Streptomycetaceae;g__Kitasatospora;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,86,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,747,651,0,0,0
k__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__C0119;f__NA;g__NA;s__NA,0,0,0,0,0,0,0,0,0,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,201,204,13,15,12,206,209,213,0,0,0,356,326,347,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4
k__Bacteria;p__Planctomycetota;c__028H05-P-BN-P5;o__NA;f__NA;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,622,671,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170,169,163,0,0,0
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__vaccae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,516,536,64,70,67,207,224,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__NA,342,327,320,38,31,39,0,0,0,0,0,0,0,0,0,157,160,166,0,0,0,0,0,0,0,0,0,0,0,0,111,123,116,21,22,24,30,26,27,1,0,3,102,83,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__possible_genus_06;s__NA,0,0,0,16,15,13,0,0,0,0,0,0,0,0,0,37,32,23,0,0,0,0,0,0,0,0,0,15,12,14,37,49,38,103,103,92,104,107,118,0,0,0,204,238,202,0,0,0,0,0,0,271,284,303,0,0,0,14,7,16
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__NA;s__NA,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,216,188,136,148,142,459,489,455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Oligosphaerales;f__Lenti-02;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,21,0,0,0,17,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,680,676,669,78,62,83
k__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__27F-1492R;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,711,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,162,135,0,0,0
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Kitasatosporales;f__Streptomycetaceae;g__E1B-B3-114;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,268,253,0,0,0,133,115,146,0,0,0,407,427,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__mobilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,811,848,0,0,0,0,0,0
k__Bacteria;p__Bacillota;c__Clostridia;o__Incertae_Sedis;f__Incertae_Sedis;g__Lutispora;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,74,83,0,0,0,0,0,0,0,0,0,0,0,0,113,99,102,594,564,555,0,0,0
k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__NA;f__NA;g__NA;s__NA,0,0,0,31,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,88,93,47,61,48,430,418,420,0,0,0,153,126,141,0,0,0,0,0,0,0,0,0,42,39,36,0,0,0
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces;s__ulmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,587,568,0,0,0,0,0,0,0,0,0,233,267,243,0,0,0
k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__inhibens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,212,249,43,47,56,0,0,0,1,3,1,509,496,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Puniceicoccaceae;g__Verruc-01;s__NA,0,0,0,4,6,7,0,0,0,0,0,0,601,623,580,165,148,142,0,0,0,22,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__GZKB75;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,601,616,577,190,188,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Thalassobacillus;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,73,72,170,179,173,538,569,522
k__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus_Soleaferrea;s__NA,0,0,0,91,95,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,177,187,347,335,361,133,145,140,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,19
k__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__NA;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,231,233,0,0,0,37,39,36,13,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,43,382,343,399,78,74,93
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__fluviatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,375,350,16,18,15,0,0,0,0,0,0,295,288,305,0,0,0,104,110,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Paeniclostridium;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,69,73,722,700,666,0,0,0
k__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__YM_S32_TM7_50_20;g__NA;s__NA,0,0,0,0,0,0,0,0,0,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,181,210,30,29,35,3,2,1,305,309,314,0,0,0,0,0,0,113,108,98,127,132,126,0,0,0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flaviaestuariibacter;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,745,741,0,0,0,0,0,0,23,17,24,0,0,0,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Blastochloris;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,764,778,0,0,0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae;g__Thiogranum;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,789,709,0,0,0
k__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium;s__NA,0,0,0,6,9,7,0,0,0,2,2,0,0,0,0,186,191,177,0,0,0,32,25,34,0,0,0,0,0,0,0,0,0,9,6,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20,27,21,467,461,483,60,54,63
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Afipia;s__felis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,637,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,105,110
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__NA;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,23,0,0,0,0,0,0,509,525,509,0,0,0,0,0,0,142,151,136,106,111,121,0,0,0
k__Bacteria;p__Patescibacteria;c__WWE3;o__NA;f__NA;g__NA;s__NA,0,0,0,10,8,3,0,0,0,2,1,0,0,0,0,74,70,87,0,0,0,166,153,163,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,153,148,150,0,0,0,0,0,0,45,43,55,276,291,291,41,44,41
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Verrucomicrobium;s__spinosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,616,588,0,0,0,0,0,0,39,43,38,0,0,0,120,121,96
k__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Kuenenbacteria;f__NA;g__NA;s__NA,0,0,0,38,40,36,0,0,0,19,14,19,0,0,0,0,0,0,0,0,0,44,40,43,0,0,0,15,21,17,0,0,0,154,140,154,89,85,90,4,2,3,0,0,0,1,0,0,0,0,0,70,85,70,255,255,246,86,66,102
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__subsaxonicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,56,518,511,536,0,0,0,102,100,112,0,0,0,0,0,0,0,0,0,0,0,0,92,76,105
k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Nodosilineaceae;g__MBIC10086;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,706,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,75,90,0,0,0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__fonticola,0,0,0,96,106,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,94,89,277,264,281,192,187,186,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,115,111,107
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,472,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,16,118,150,126,3,2,4,0,0,0,0,0,0,0,0,0,16,16,19,149,180,143,0,0,0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__profunda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,722,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidicaldus;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,807,795,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Lentzea;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,772,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
